x_m,x_over_L,M_edge,p_wall_Pa,p_wall_over_pinf,Cp,Cf,St,q_wall_W_m2,delta_mm,theta_mm,H_i,N_factor,gamma_intermittency,T_edge_K,Re_x,regime
0.3917863105175292,0.3917863105175292,3.999982956912878,5474.916039896908,1.0000029297150466,2.6158170058383675e-07,0.0007873262851256209,0.000490045521007108,18826.955835695448,2.3227685272804166,0.3084636604228393,2.6,3.813856133130191,0.0,216.65199218677205,2863677.225415705,laminar
0.3934390651085142,0.3934390651085142,3.999980971711444,5474.921109079714,1.000003855610096,3.442509014309056e-07,0.0007856706451609339,0.0004890150220076167,18787.377656168897,2.327662079181636,0.3091135241153211,2.6000000000000005,3.8299476730825193,0.0,216.65222423933437,2875754.7927924423,laminar
0.3950918196994992,0.3950918196994992,3.999978755274995,5474.9277826986745,1.0000050745581974,4.5308555333781464e-07,0.0007840253082352277,0.00048799093579809683,18748.050703623954,2.3325450732011856,0.30976198572111724,2.600000000000001,3.846040301442451,0.0,216.6524833212333,2887832.533380266,laminar
0.39674457429048415,0.39674457429048415,3.9999762806703796,5474.936568997205,1.000006679390894,5.963741869550612e-07,0.0007823901323823863,0.0004869731740163781,18708.97322157968,2.3374174698880017,0.31040904000112624,2.600000000000002,3.862134444570933,0.0,216.65277258071694,2899910.6429663617,laminar
0.3983973288814691,0.3983973288814691,3.999973517827638,5474.9481372903465,1.0000087923597412,7.85032119746124e-07,0.0007807649662550669,0.0004859616424612529,18670.143757059766,2.3422791945802137,0.31105467704025125,2.6000000000000045,3.878230695843639,0.0,216.6530955326988,2911989.3973507714,laminar
0.4000500834724541,0.4000500834724541,3.999970433174726,5474.963369021985,1.0000115744619966,1.0334341068466386e-06,0.0007791496456038679,0.0004849562389010491,18631.561243824122,2.347130126215123,0.31169888076136576,2.6000000000000103,3.894329881071124,0.0,216.6534561014551,2924069.1801680983,laminar
0.40170283806343904,0.40170283806343904,3.9999669892297214,5474.983425006455,1.000015237722416,1.3605109300006761e-06,0.0007775439886541143,0.0004839568501960627,18593.225112047712,2.3519700825417433,0.3123416269615372,2.600000000000025,3.910433149541398,0.0,216.6538586682925,2936150.519916379,laminar
0.40335559265442406,0.40335559265442406,3.999963144145558,5475.009833983444,1.00002006136796,1.7911935678592346e-06,0.0007759477900329979,0.00048296334851870694,18555.13543275974,2.356798800585067,0.31298288071768177,2.6000000000000596,3.9265421007174304,0.0,216.65430812476438,2948234.139186668,laminar
0.405008347245409,0.405008347245409,3.9999588512017747,5475.044609239098,1.000026413128842,2.3583150751924604e-06,0.0007743608127907461,0.0004819755863873553,18517.293107967616,2.361615910844146,0.3136225929600665,2.6000000000001418,3.9426589605478863,0.0,216.6548099320811,2960321.0200530565,laminar
0.406661101836394,0.406661101836394,3.9999540582371167,5475.0904021837605,1.0000347772897697,3.1051151580207026e-06,0.0007727827779163003,0.0004809933901407311,18479.70012082044,2.366420903222104,0.31426069594780986,2.6000000000003354,3.958786826808933,0.0,216.65537018743407,2972412.490859684,laminar
0.40831385642737894,0.40831385642737894,3.999948707016102,5475.150704588964,1.0000457916288816,4.088538293006234e-06,0.0007712133505600881,0.00048001655136275227,18442.359864669463,2.3712130820488793,0.3148970972958893,2.6000000000007892,3.974930010485263,0.0,216.65599569803805,2984510.341327762,laminar
0.40996661101836396,0.40996661101836396,3.9999427325218955,5475.230114885243,1.0000602960575067,5.383576563096832e-06,0.0007696521219300112,0.0004790448156143498,18405.277575794342,2.3759915067183486,0.3155316720917236,2.6000000000018457,3.9910945107470033,0.0,216.65669406378854,2996616.9751327033,laminar
0.4116193656093489,0.4116193656093489,3.999936062166909,5475.334688785346,1.0000793966621027,7.088987687743561e-06,0.0007680985855037719,0.0004780778676277631,18368.460902314513,2.3807549133576646,0.31616425249279567,2.600000000004291,4.0072886757302815,0.0,216.65747376953513,3008735.6120406515,laminar
0.4132721202003339,0.4132721202003339,3.999928614911582,5475.472400887014,1.0001045500168066,9.334822929165329e-06,0.0007665521057777787,0.00047711531185566945,18331.92065196761,2.385501611496108,0.31679461400413106,2.6000000000099153,4.023524121662543,0.0,216.65834428808873,3020870.555570679,laminar
0.41492487479131884,0.41492487479131884,3.999920300280669,5475.6537522985445,1.000137674167299,1.2292336365975633e-05,0.0007650118772199246,0.0004761566469234708,18295.671774739,2.390229347797219,0.31742245738159747,2.600000000022773,4.039817011061511,0.0,216.65931619520862,3033027.547258608,laminar
0.41657762938230386,0.41657762938230386,3.999911017265144,5475.892570332868,1.0001812946963173,1.6187026456910606e-05,0.000763476870371829,0.00047520123208414814,18259.734653725358,2.394935126424635,0.31804738477575706,2.6000000000519883,4.056189829752489,0.0,216.6604012979603,3045214.2353260815,laminar
0.4182303839732888,0.4182303839732888,3.9999006530964367,5476.20706072687,1.0002387369133445,2.1315795834334825e-05,0.0007619457611062272,0.00047424824319071564,18224.136800324548,2.3996149723540823,0.31866886829807894,2.600000000117965,4.072673856333843,0.0,216.6616127779964,3057440.794404543,laminar
0.4198831385642738,0.4198831385642738,3.999889081878198,5476.621191683185,1.0003143786522468,2.8069522522030406e-05,0.0007604168378248994,0.00047329661494312816,18188.91507942104,2.4042636197014136,0.31928620862732976,2.6000000002660477,4.089312591913382,0.0,216.6629653514912,3069720.744574686,laminar
0.42153589315525875,0.42153589315525875,3.9998761630590716,5477.166513604198,1.0004139826488518,3.6962736504625255e-05,0.00075888787980435,0.00047234496518713787,18154.118628635337,2.4088741016368487,0.31989848054236336,2.600000000596382,4.106166519647631,0.0,216.66447544766044,3082072.0331864734,laminar
0.42318864774624376,0.42318864774624376,3.999861739728044,5477.88455033235,1.0005451333051472,4.8672616531000065e-05,0.0007573559978661494,0.0004713914957851351,18119.812685351495,2.4134372113712823,0.32050446132408494,2.6000000013287567,4.123319702182422,0.0,216.66616140801943,3094518.462773169,laminar
0.4248414023372287,0.4248414023372287,3.9998456367118287,5478.829939058165,1.000717810198938,6.409019633374702e-05,0.0007558174259548691,0.00047043386297767774,18086.083599058722,2.4179407946553506,0.32110253676254263,2.600000002942507,4.140888912187522,0.0,216.6680437087824,3107091.5741759012,laminar
0.4264941569282137,0.4264941569282137,3.9998276584513683,5480.0745492599335,1.000945140415338,8.438753708374783e-05,0.0007542672489228462,0.00046946900813837374,18053.0453879568,2.4223688228273343,0.32169057797870676,2.600000006476413,4.159036240501005,0.0,216.67014520908083,3119833.1273508905,laminar
0.42814691151919865,0.42814691151919865,3.9998075866319063,5481.712878944307,1.0012443841794931,0.00011110573031189021,0.0007526990477154173,0.0004684929373274142,18020.8483015181,2.4267001813283047,0.3222657803708228,2.6000000141672883,4.177986452180878,0.0,216.6724914279869,3132798.3651208254,laminar
0.42979966611018366,0.42979966611018366,3.999785177538153,5483.8691121601505,1.0016382239237522,0.00014626999319215992,0.0007511044381028102,0.00046750043502770064,17989.689978412174,2.4309070916057776,0.32282445368640084,2.6000000308006275,4.198050773664317,0.0,216.6751108536712,3146060.2994434233,laminar
0.4314524207011686,0.4314524207011686,3.9997601591028125,5486.706328217577,1.0021564463675277,0.0001925398542435409,0.0007494724730428208,0.0004664846939215988,17959.829944497433,2.4349530647549233,0.32336174951536384,2.6000000665473904,4.219659291996224,0.0,216.6780352884046,3159715.327684001,laminar
0.4331051752921536,0.4331051752921536,3.999732227613089,5490.438482259933,1.0028381307895913,0.0002534045347849393,0.0007477888717163741,0.00046543683868687115,17931.608378274505,2.438790264405779,0.3238713095151755,2.600000142878836,4.243404695037448,0.0,216.6813002335376,3173890.5694859526,laminar
0.43475792988313855,0.43475792988313855,3.9997010440357967,5495.345928249517,1.0037344843283926,0.00033343610074934896,0.0007460350304952552,0.00046434531796151504,17905.47027495334,2.442356137528701,0.32434481473888116,2.6000003048035905,4.270100574584353,0.0,216.68494531906353,3188753.413277881,laminar
0.4364106844741235,0.4364106844741235,3.999666229917173,5501.795422978016,1.0049124957493318,0.0004386156919046229,0.0007441867631672604,0.00046319513571075417,17881.996346848206,2.445569161918684,0.3247714142464657,2.6000006459696103,4.300857706865638,0.0,216.68901478289402,3204523.8721545995,laminar
0.43806343906510853,0.43806343906510853,3.99962736280855,5510.265716671279,1.0064596096131946,0.0005767508583209476,0.0007422127108040051,0.00046196689287360276,17861.942167131998,2.448323571510779,0.3251370111101322,2.600001359660395,4.337181110585998,0.0,216.69355800555735,3221490.4623367824,laminar
0.4397161936560935,0.4397161936560935,3.999583971163507,5521.379965996504,1.0084896465682487,0.0007580041578793463,0.0007400723576878153,0.00046063561530798516,17846.287118269825,2.450482979629053,0.32542338845828067,2.6000028412208063,4.381088306973831,0.0,216.6986301066769,3240030.4123600996,laminar
0.44136894824707845,0.44136894824707845,3.9995355286459895,5535.946229137323,1.0111501998460837,0.0009955535576860388,0.0007377135919195931,0.0004591693596255759,17836.29450564083,2.4518729671508708,0.3256071715695014,2.600005890898701,4.435243422342406,0.0,216.70429261030142,3260635.045637865,laminar
0.4430217028380634,0.4430217028380634,3.999481447782118,5555.007095190978,1.0146317001572593,0.001306401799755291,0.0007350697628795808,0.0004575276223116832,17833.583503484602,2.4522730027851676,0.32565865095860297,2.6000121082925993,4.503090051824897,0.0,216.71061418695325,3283941.076809836,laminar
0.44467445742904843,0.44467445742904843,3.999421072880868,5579.8988504980925,1.019178222524264,0.0017123412968092847,0.0007320562217185794,0.0004556596410116038,17840.21203514165,2.451408607898872,0.32554054566463636,2.6000246407668492,4.588944961543275,0.0,216.7176714811378,3310768.1929916274,laminar
0.4463272120200334,0.4463272120200334,3.999353672140516,5612.319157099606,1.0250998478692956,0.002241057845472819,0.0007285664044567921,0.0004535027850833015,17858.766688714182,2.4489455682050485,0.3252068776575777,2.6000495553655334,4.697982448061196,0.0,216.72555003403102,3342162.4451317065,laminar
0.44797996661101835,0.44797996661101835,3.9992784288485526,5654.399517578292,1.0327858988435026,0.002927312396741304,0.000724467674808079,0.0004509814015837696,17892.450575688803,2.4444892619008423,0.3246022675487751,2.600098231025104,4.835998483514441,0.0,216.73434531213178,3379443.33897896,laminar
0.4496327212020033,0.4496327212020033,3.999194431572647,5708.774168637079,1.0427175233587973,0.0038140645856069044,0.0007195974905196151,0.0004480067218733108,17945.151804919875,2.437593596880597,0.3236621449294333,2.600191228246143,5.008811613368041,0.0,216.74416385385183,3424249.667963391,laminar
0.45128547579298833,0.45128547579298833,3.9991006632290906,5778.629767992808,1.055476769985353,0.0049532830344065125,0.000713761201630645,0.0004444787270317439,18021.46338166652,2.4277848386761214,0.3223145539057481,2.600363851613818,5.221175511886645,0.0,216.75512454731845,3478574.6002808455,laminar
0.4529382303839733,0.4529382303839733,3.998995988902888,5867.7098879241785,1.071747408705945,0.006406018634459385,0.0007200991644291602,0.0004486132291742716,18469.227236702252,2.411487373272449,0.3200016055303109,2.59815687439195,5.47521096394639,0.0020965003218600398,216.76736005409833,3544774.00605498,transitional/separated
0.45459098497495826,0.45459098497495826,3.998879142280221,5980.235548349597,1.0923004161445136,0.008241108584331564,0.0007835474347883049,0.0004884568957653903,20494.892212806884,2.37835841855152,0.31506253066622175,2.5848213737143664,5.768658015366007,0.013649199821360258,216.7810183951235,3625523.815555293,transitional/separated
0.4562437395659432,0.4562437395659432,3.998748710539265,6120.6909246331825,1.1179548347245032,0.010531681671830648,0.0008942859793589448,0.0005580150550663876,23962.920576074484,2.3316216033638586,0.30788740858779107,2.5616639991408556,6.093626044169192,0.03365887539642609,216.7962647168213,3723694.1831472074,transitional/separated
0.45789649415692824,0.45789649415692824,3.9986031175292847,6293.419360930426,1.1495039838043482,0.01334856998253109,0.0010422648932608045,0.0006512000121519978,28753.176450247993,2.2747332058476633,0.29891472432463667,2.530181223783977,6.436699071267071,0.06097977106303065,216.81328325733026,3842104.9412401854,transitional/separated
0.4595492487479132,0.4595492487479132,3.9984406050504213,6501.991694532716,1.1876000830211906,0.0167500074126063,0.0012188705476174557,0.0007628653293051501,34799.212026873414,2.2110211844593097,0.28857757016141505,2.491703393507455,6.7808826072914865,0.09460160294157094,216.83227953472795,3983136.278991708,transitional/separated
0.46120200333889816,0.46120200333889816,3.9982592120276235,6748.362204852157,1.2326000849060545,0.02076786472375487,0.0014162176135140618,0.000888353387350062,42057.98909734584,2.1438616073276413,0.277331862168925,2.447514350415029,7.10895312960765,0.1335385851155112,216.85348278141498,4148200.7826887127,transitional/separated
0.4628547579298831,0.4628547579298831,3.9980567513516787,7031.925207844121,1.2843933602155513,0.025392264304959937,0.001627093913425318,0.0010234507627704603,50488.62292329711,2.0766742462865,0.2656525547608002,2.398873774971818,7.406902298848733,0.17681122704358831,216.87714865119474,4337143.603394263,transitional/separated
0.46450751252086814,0.46450751252086814,3.997830784138297,7348.709000584211,1.342254470507993,0.030558434866785097,0.0018450455304045794,0.0011644413205597586,60029.889773919575,2.0128274671808817,0.2540129664415674,2.347023859614506,7.666105520401187,0.22345240539072764,216.90356222815936,4547716.06838471,transitional/separated
0.4661602671118531,0.4661602671118531,3.997578591132696,7691.032924920186,1.404780530223417,0.03614111876994796,0.002064448427374944,0.0013081614823697366,70578.08895722184,1.955468244136436,0.2428533682835877,2.293190124053353,7.883646279805537,0.27252140792102,216.9330413692423,4775327.368373308,transitional/separated
0.46781302170283806,0.46781302170283806,3.997297140962206,8047.918916473744,1.4699663768240048,0.04196128364500043,0.0022805053500299047,0.0014520128836934992,81971.17120850897,1.907319500408847,0.23254750383696396,2.238574563955712,8.061190171838701,0.32312003894836816,216.96594041520873,5013262.865636918,transitional/separated
0.469465776293823,0.469465776293823,3.9969830549132377,8406.337068521465,1.5354320752016413,0.04780643528586082,0.002489156847560703,0.00159391878716357,93985.5964308219,1.8705152853839884,0.2233772997758688,2.184341958070881,8.203255118195532,0.3744080762714148,217.00265430791814,5253429.734130173,transitional/separated
