station,x_m,y_mm,u_over_Ue,T_over_Te,T_K,M_local
upstream_laminar,0.2,1.4769845821259338,0.9824626057191826,1.0699250581401776,231.79926385206517,3.9298504228296305
upstream_laminar,0.2,1.5121508817003608,0.9884753081498108,1.0461499684493294,226.6483906704097,3.9539012325518548
upstream_laminar,0.2,1.547317181274788,0.9932612389776947,1.027077482320506,222.5163365504932,3.973044955863161
upstream_laminar,0.2,1.5824834808492145,0.9967918686306779,1.0129233009824872,219.44983316353213,3.9871674744749246
upstream_laminar,0.2,1.6176497804236418,0.999038667536603,1.0038787260501367,217.49032600438773,3.9961546700985173
upstream_laminar,0.2,1.652816079998069,0.9999731061233136,1.0001085818634912,216.67352426632982,3.999892424445315
upstream_laminar,0.2,1.6879823795724958,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.7231486791469226,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.7583149787213497,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.7934812782957767,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.8286475778702038,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.8638138774446307,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.898980177019058,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.9341464765934848,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,1.9693127761679117,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,2.0044790757423385,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,2.039645375316766,1.0,1.0,216.65000000560386,3.9999999999520592
upstream_laminar,0.2,2.0748116748911927,1.0,1.0,216.65000000560386,3.9999999999520592
separation_bubble,0.515,0.0,-0.25,2.0982437945696613,470.0,-0.984286990282281
separation_bubble,0.515,0.13778013380263987,0.05446635133629932,2.181527540219237,488.6552966612389,0.21444208411385338
separation_bubble,0.515,0.27556026760527974,0.1510656182929839,2.2886874301899343,512.6587744346867,0.594767691058932
separation_bubble,0.515,0.41334040140791956,0.2234543607495338,2.334998955001419,523.0324100997749,0.8797728808304387
separation_bubble,0.515,0.5511205352105595,0.28312007387020305,2.351277259695288,526.6786990705414,1.114685621592797
separation_bubble,0.515,0.6889006690131994,0.3343732785636194,2.3494637967892777,526.2724890924488,1.3164770719528147
separation_bubble,0.515,0.8266808028158391,0.37943186014289976,2.3358109786091856,523.2143008298407,1.4938793745490486
separation_bubble,0.515,0.964460936618479,0.4196430096076783,2.3140994384163998,518.350984223344,1.65219661967896
separation_bubble,0.515,1.102241070421119,0.4559140421650681,2.2868070322508887,512.2375712200561,1.7950010415603352
separation_bubble,0.515,1.2400212042237588,0.488899984376324,2.2556386170329383,505.25594439940295,1.9248715766833044
separation_bubble,0.515,1.3778013380263987,0.519097441669699,2.2218033917548308,497.6769605263816,2.0437634340971993
separation_bubble,0.515,1.5155814718290386,0.5468965413002668,2.1861755215152323,489.69642982925853,2.153212602528915
separation_bubble,0.515,1.6533616056316782,0.5726119816382057,2.149394237379667,481.4575380529761,2.254458096024969
separation_bubble,0.515,1.791141739434318,0.5965027698562767,2.1119296924530557,473.0655980119387,2.348519664147515
separation_bubble,0.515,1.928921873236958,0.618785416829889,2.074128083612746,464.598156716067,2.4362497422482323
separation_bubble,0.515,2.0667020070395976,0.6396431356309772,2.0362435299524124,456.1121360418066,2.5183696672997415
separation_bubble,0.515,2.204482140842238,0.6592324841696259,1.9984611268140662,447.6489967626721,2.59549583095853
separation_bubble,0.515,2.3422622746448774,0.6776883075131884,1.9609139184797124,439.23854037871047,2.6681591382065966
separation_bubble,0.515,2.4800424084475177,0.6951275095857763,1.9236955658219153,430.9017466303213,2.7368198570904045
separation_bubble,0.515,2.617822542250157,0.711651994338468,1.8868699002083664,422.65291354278315,2.8018791985431744
separation_bubble,0.515,2.7556026760527974,0.7273510018534839,1.8504781861877575,414.5012842450093,2.8636885139726695
separation_bubble,0.515,2.893382809855437,0.7423029931896913,1.8145446747279599,406.45229087740654,2.922556716176839
separation_bubble,0.515,3.031162943658077,0.7565771916282691,1.7790808668003,398.508509621321,2.978756347456038
separation_bubble,0.515,3.1689430774607166,0.7702348574493144,1.7440887952897564,390.67039583658396,3.0325285985971497
separation_bubble,0.515,3.3067232112633564,0.783330352678638,1.709563554312035,382.9368506205682,3.0840875009392574
separation_bubble,0.515,3.444503345065996,0.7959120379046346,1.6754952482934613,375.305657395944,3.133623457274358
