x_m,y_m,p_Pa,T_K,Mach,u_ms,v_ms
0.8241206030150754,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8291457286432161,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8341708542713568,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8391959798994975,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8442211055276382,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8492462311557789,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8542713567839196,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8592964824120604,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.864321608040201,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8693467336683417,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8743718592964824,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8793969849246231,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8844221105527639,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8894472361809045,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8944723618090452,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8994974874371859,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9045226130653267,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9095477386934674,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.914572864321608,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9195979899497487,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9246231155778895,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9296482412060302,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9346733668341709,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9396984924623115,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9447236180904522,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.949748743718593,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9547738693467337,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9597989949748744,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.964824120603015,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9698492462311558,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9748743718592965,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9798994974874372,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9849246231155779,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9899497487437187,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.9949748743718593,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
1.0,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.0,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.005025125628140704,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.010050251256281407,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.01507537688442211,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.020100502512562814,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.02512562814070352,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.03015075376884422,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.035175879396984924,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.04020100502512563,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.04522613065326633,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.05025125628140704,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.05527638190954774,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.06030150753768844,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.06532663316582915,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.07035175879396985,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.07537688442211056,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.08040201005025126,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.08542713567839195,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.09045226130653267,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.09547738693467336,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.10050251256281408,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.10552763819095477,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.11055276381909548,0.0012605042016806721,5474.9,216.65,4.0,1180.2720737185982,0.0
0.11557788944723618,0.0012605042016806721,5474.9,217.7162685574873,4.0,1183.1716248197863,0.0
0.12060301507537688,0.0012605042016806721,5474.9,243.30122425961372,4.0,1249.869760993129,0.0
0.12562814070351758,0.0012605042016806721,5474.9,266.39865360466104,4.0,1305.426717780845,0.0
0.1306532663316583,0.0012605042016806721,5474.9,287.32852640089766,4.0,1351.9702156883463,0.0
0.135678391959799,0.0012605042016806721,5474.9,306.35838053174496,4.0,1391.0931539235946,0.0
0.1407035175879397,0.0012605042016806721,5474.9,323.71741374174957,4.0,1424.0338044647365,0.0
0.1457286432160804,0.0012605042016806721,5474.9,339.5991088579075,4.0,1451.769240815526,0.0
0.15075376884422112,0.0012605042016806721,5474.9,354.16907427192143,4.0,1475.0869536437615,0.0
0.15577889447236182,0.0012605042016806721,5474.9,367.5698124393883,4.0,1494.630583691185,0.0
0.16080402010050251,0.0012605042016806721,5474.9,379.92455086077644,4.0,1510.9322037103018,0.0
0.1658291457286432,0.0012605042016806721,5474.9,391.34034245381594,4.0,1524.4358176068874,0.0
0.1708542713567839,0.0012605042016806721,5474.9,401.9105918587,4.0,1535.5148990071998,0.0
0.17587939698492464,0.0012605042016806721,5474.9,411.71712719163224,4.0,1544.4857528016337,0.0
0.18090452261306533,0.0012605042016806721,5474.9,420.8319092736893,4.0,1551.617870042664,0.0
0.18592964824120603,0.0012605042016806721,5474.9,429.3184497637823,4.0,1557.14206927237,0.0
0.19095477386934673,0.0012605042016806721,5474.9,437.2329940545535,4.0,1561.2569766818694,0.0
0.19597989949748745,0.0012605042016806721,5474.9,444.62551292396324,4.0,1564.1342390897391,0.0
0.20100502512562815,0.0012605042016806721,5474.9,451.54053782192386,4.0,1565.9227565520594,0.0
0.20603015075376885,0.0012605042016806721,5474.9,458.0178676207798,4.0,1566.7521471415346,0.0
0.21105527638190955,0.0012605042016806721,5474.9,464.09316916603825,4.0,1566.7356038565688,0.0
0.21608040201005024,0.0012605042016806721,5474.9,469.79848965711983,4.0,1565.9722657028549,0.0
0.22110552763819097,0.0012605042016806721,5474.9,475.16269549001976,4.0,1564.5491971877725,0.0
0.22613065326633167,0.0012605042016806721,5474.9,480.2118494970662,4.0,1562.543049781828,0.0
0.23115577889447236,0.0012605042016806721,5474.9,484.9695363667181,4.0,1560.0214633075684,0.0
0.23618090452261306,0.0012605042016806721,5474.9,489.45714429944496,4.0,1557.0442533229746,0.0
0.24120603015075376,0.0012605042016806721,5474.9,493.6941095630639,4.0,1553.6644213993752,0.0
0.24623115577889448,0.0012605042016806721,5474.9,497.6981294823015,4.0,1549.929018060889,0.0
0.25125628140703515,0.0012605042016806721,5474.9,501.48534847851215,4.0,1545.8798825540982,0.0
0.2562814070351759,0.0012605042016806721,5474.9,505.0704740678097,4.0,1541.5543391151473,0.0
0.2613065326633166,0.0012605042016806721,5474.9,508.4669718891301,4.0,1536.9857052983868,0.0
0.2663316582914573,0.0012605042016806721,5474.9,511.6873366755357,4.0,1532.2035388642532,0.0
0.271356783919598,0.0012605042016806721,5474.9,514.742943323479,4.0,1527.2343863025035,0.0
0.2763819095477387,0.0012605042016806721,5474.9,517.6442558746534,4.0,1522.1020158434303,0.0
0.2814070351758794,0.0012605042016806721,5474.9,520.4009147550121,4.0,1516.8277306424718,0.0
0.2864321608040201,0.0012605042016806721,5474.9,523.0218143125144,4.0,1511.4306427214071,0.0
0.2914572864321608,0.0012605042016806721,5474.9,525.5151718787964,4.0,1505.9279131362134,0.0
0.2964824120603015,0.0012605042016806721,5474.9,527.8885894075186,4.0,1500.3349629982006,0.0
0.30150753768844224,0.0012605042016806721,5474.9,530.1491085964551,4.0,1494.6656592744423,0.0
0.3065326633165829,0.0012605042016806721,5474.9,532.3032602770247,4.0,1488.9324787094602,0.0
0.31155778894472363,0.0012605042016806721,5474.9,534.3571087501938,4.0,1483.1466527213381,0.0
0.3165829145728643,0.0012605042016806721,5474.9,536.3162916585296,4.0,1477.318295715063,0.0
0.32160804020100503,0.0012605042016806721,5474.9,538.1860559081848,4.0,1471.456518910182,0.0
0.32663316582914576,0.0012605042016806721,5474.9,539.9712900897,4.0,1465.5695314877962,0.0
0.3316582914572864,0.0012605042016806721,5474.9,541.6765537910971,4.0,1459.6647306146585,0.0
0.33668341708542715,0.0012605042016806721,5474.9,543.3061041493397,4.0,1453.7487816926603,0.0
0.3417085427135678,0.0012605042016806721,5474.9,544.8639199456895,4.0,1447.827690005271,0.0
0.34673366834170855,0.0012605042016806721,5474.9,546.3537235155225,4.0,1441.9068647858867,0.0
0.35175879396984927,0.0012605042016806721,5474.9,547.7790007122792,4.0,1435.991176617963,0.0
0.35678391959798994,0.0012605042016806721,5474.9,549.143019135925,4.0,1430.085009002915,0.0
0.36180904522613067,0.0012605042016806721,5474.900000000001,550.448844803597,4.0,1424.1923049264838,-1.379832076516496e-14
0.36683417085427134,0.0012605042016806721,5474.900000000002,551.6993573932796,4.0,1418.316609385906,-4.122418185066263e-14
0.37185929648241206,0.0012605042016806721,5474.900000000008,552.8972641062521,3.9999999999999996,1412.4611092708278,-1.0947730239306774e-13
0.3768844221105528,0.0012605042016806721,5474.900000000023,554.0451120163867,3.9999999999999982,1406.6286730994625,-2.861912571757923e-13
