x_m,delta_star_mm,theta_mm,H_i,Re_theta
0.0810684474123539,0.36481991005665587,0.1403153500217907,2.6,1025.618655995126
0.0827212020033388,0.36851996590773023,0.1417384484260501,2.6,1036.0206275007263
0.0843739565943238,0.37218323950914683,0.1431473998112103,2.6,1046.3191930232135
0.0860267111853088,0.3758108064843413,0.1445426178785928,2.6,1056.5173764640588
0.0876794657762938,0.37940369103278276,0.1459244965510703,2.6,1066.6180571564712
0.0893322203672788,0.3829628693074403,0.1472934112720924,2.6,1076.6239793604793
0.0909849749582637,0.3864892725122858,0.148649720197033,2.6,1086.537760970939
0.0926377295492487,0.3899837897476818,0.1499937652875699,2.6,1096.3619015167783
0.0942904841402337,0.3934472706282919,0.1513258733185738,2.6,1106.0987895207325
0.0959432387312187,0.3968805276953515,0.1526463568059044,2.6,1115.7507092809635
0.0975959933222036,0.4002843386427067,0.1539555148625795,2.6,1125.3198471291241
0.0992487479131886,0.4036594483738953,0.1552536339899597,2.6,1134.8082972134343
0.1009015025041736,0.4070065709056869,0.1565409888098796,2.6,1144.2180668501055
0.1025542570951585,0.41032639113185776,0.1578178427430222,2.6,1153.5510814818426
0.1042070116861435,0.413619566459546,0.1590844486382869,2.6,1162.8091892781297
0.1058597662771285,0.41688672832925644,0.1603410493574063,2.6,1171.994165408425
0.1075125208681135,0.4201284836284729,0.1615878783186434,2.6,1181.1077160162474
0.1091652754590984,0.42334541600783687,0.1628251600030142,2.6,1190.151481919356
0.1108180300500834,0.426538087107983,0.1640531104261473,2.6,1199.1270420587457
0.1124707846410684,0.4297070377043247,0.1652719375785864,2.6,1208.0359167169952
0.1141235392320534,0.4328527887764093,0.1664818418370805,2.6,1216.8795705245361
0.1157762938230383,0.4359758425078201,0.1676830163491616,2.6,1225.659415270685
0.1174290484140233,0.43907668322206855,0.1688756473931033,2.6,1234.3768125347196
0.1190818030050083,0.44215577825940716,0.1700599147151566,2.6,1243.0330761508574
0.1207345575959933,0.4452135787990649,0.1712359918457942,2.6,1251.629474519812
0.1223873121869782,0.448250520630998,0.1724040463965377,2.6,1260.1672327784158
0.1240400667779632,0.4512670248808907,0.1735642403388041,2.6,1268.6475348378156
0.1256928213689482,0.4542634986918278,0.1747167302660876,2.6,1277.0715252998607
0.1273455759599332,0.4572403358657571,0.1758616676406758,2.6,1285.4403112604416
0.1289983305509182,0.46019791746760474,0.1769991990260018,2.6,1293.7549640078505
0.1306510851419031,0.46313661239467024,0.1781294663056424,2.6,1302.0165206235092
0.1323038397328881,0.46605677791370204,0.1792526068898854,2.6,1310.2259854918632
0.1339565943238731,0.46895876016787774,0.1803687539107222,2.6,1318.3843317256453
0.1356093489148581,0.4718428946557155,0.1814780364060444,2.6,1326.4925025122461
0.137262103505843,0.47470950668379996,0.1825805794937692,2.6,1334.5514123864602
0.138914858096828,0.4775589117950464,0.1836765045365563,2.6,1342.5619484344688
0.140567612687813,0.4803914161741053,0.1847659292977328,2.6,1350.5249714335473
0.142220367278798,0.48320731703137115,0.1858489680889889,2.6,1358.4413169316385
0.143873121869783,0.48600690296697474,0.1869257319103749,2.6,1366.3117962706385
0.1455258764607679,0.4887904543160039,0.1879963285830784,2.6,1374.1371975569173
0.1471786310517529,0.4915582434761336,0.189060862875436,2.6,1381.9182865823864
0.1488313856427379,0.4943105352187419,0.190119436622593,2.6,1389.6558076991405
0.1504841402337229,0.4970475869845234,0.1911721488402013,2.6,1397.3504846505132
0.1521368948247078,0.4997696491645297,0.1922190958325114,2.6,1405.0030213611678
0.1537896494156928,0.5024769653675062,0.1932603712951947,2.6,1412.6141026886635
0.1554424040066778,0.5051697726743364,0.1942960664132063,2.6,1420.1843951387705
0.1570951585976627,0.5078483018803405,0.1953262699539771,2.6,1427.714547546649
0.1587479131886477,0.510512777726133,0.196351068356205,2.6,1435.2051917258536
0.1604006677796327,0.5131634191176931,0.1973705458144973,2.6,1442.6569430870254
0.1620534223706177,0.5158004393362541,0.1983847843600977,2.6,1450.0704012279473
0.1637061769616026,0.5184240462385861,0.1993938639379177,2.6,1457.4461504965996
0.1653589315525876,0.5210344424481989,0.2003978624800765,2.6,1464.784760528696
0.1670116861435726,0.5236318255379703,0.2013968559761424,2.6,1472.0867867610955
0.1686644407345576,0.5262163882046563,0.2023909185402524,2.6,1479.3527709224124
0.1703171953255425,0.5287883184357277,0.2033801224752799,2.6,1486.5832415020388
0.1719699499165275,0.5313477996689369,0.2043645383342065,2.6,1493.7787141987392
0.1736227045075125,0.5338950109450017,0.2053442349788468,2.6,1500.939692349882
0.1752754590984975,0.5364301270537594,0.2063192796360613,2.6,1508.0666673423368
0.1769282136894824,0.5389533186741402,0.2072897379515924,2.6,1515.1601190059644
0.1785809682804674,0.541464752508264,0.20825567404164,2.6,1522.220515990615
0.1802337228714524,0.5439645914099654,0.2092171505422944,2.6,1529.2483161274483
0.1818864774624374,0.5464529945080336,0.210174228656936,2.6,1536.243966775399
0.1835392320534223,0.5489301173244148,0.211126968201698,2.6,1543.2079051534683
0.1851919866444073,0.5513961118876418,0.212075427649093,2.6,1550.140558659624
0.1868447412353923,0.5538511268417147,0.2130196641698903,2.6,1557.0423451768845
0.1884974958263773,0.5562953075506599,0.2139597336733307,2.6,1563.9136733672722
